alloy_grade,billet_temperature_C,container_temperature_C,die_temperature_C,ram_speed_mm_per_sec,billet_diameter_mm,extrusion_ratio,mean_strain_rate_per_sec,zener_hollomon_parameter,flow_stress_MPa,exit_temperature_C,ram_pressure_MPa,exit_speed_mm_per_sec,surface_quality_score,run_is_valid
AA7075,493.12,423.41,427.88,4.879,83.58,39.82,0.405569,26104405156.165,23.194,501.39,98.63,191.835,0.0,True
AA7075,436.06,457.36,391.57,2.922,121.34,34.41,0.160662,44554182386.317,25.055,463.44,103.4,99.261,0.0,True
AA6063,474.17,387.55,414.01,4.938,93.12,27.93,0.335659,14521117454.032,25.235,488.88,97.57,137.275,0.0,True
AA6061,451.36,404.58,449.96,7.896,126.92,49.6,0.469689,57072237495.2,27.611,477.79,125.4,396.573,0.0,True
AA6061,480.49,450.25,456.19,2.853,130.13,25.77,0.136704,5445133942.89,19.981,493.12,75.9,73.873,0.0,True
AA6063,455.98,415.83,382.12,1.162,116.41,37.84,0.066621,4640122814.293,21.555,470.95,89.34,42.293,0.02,True
AA6061,442.82,384.79,417.5,3.541,97.61,37.79,0.247885,40950269290.566,26.465,463.46,111.73,131.803,0.0,True
AA6061,443.59,420.81,440.55,4.285,122.1,41.59,0.247121,32695985415.088,25.7,471.15,113.19,176.252,0.0,True
AA7075,444.26,389.61,426.15,3.304,110.97,35.88,0.202637,67509462955.842,26.542,460.53,113.82,117.997,0.0,True
AA6061,500.07,387.57,390.21,6.759,140.53,27.82,0.306726,9854671792.564,21.793,501.9,86.38,188.789,0.0,True
AA6063,467.99,413.38,407.31,1.671,119.39,29.16,0.08807,4172108834.387,21.228,479.51,85.0,47.598,0.01,True
AA7075,470.2,418.7,396.71,3.641,118.05,28.72,0.199563,23994448865.391,22.906,477.84,91.14,105.512,0.0,True
AA7075,433.65,454.38,420.91,7.919,116.74,31.76,0.451511,128707953137.928,28.913,463.15,116.63,253.443,0.0,True
AA6063,442.56,415.68,430.98,6.989,100.1,17.35,0.380733,38408890246.291,28.592,460.06,94.58,121.323,0.0,True
AA7075,431.6,443.97,429.28,3.875,97.78,44.39,0.286263,99950100267.665,27.976,459.81,123.75,171.52,0.0,True
AA6061,496.65,407.16,406.2,7.459,109.21,48.51,0.506659,16274013039.172,23.39,512.0,106.62,362.097,0.0,True
AA6063,495.14,450.17,390.86,2.225,105.03,21.63,0.123504,2371633600.726,19.539,503.21,72.2,47.792,0.06,True
AA6061,466.76,429.57,413.36,3.17,127.77,43.9,0.17697,11646571900.177,22.318,485.28,96.78,137.441,0.0,True
AA6063,458.25,456.77,397.78,1.511,142.4,43.91,0.077056,3912979395.451,21.032,483.66,89.35,66.7,0.0,True
AA6061,480.3,445.66,436.98,6.106,115.87,38.48,0.36771,15744685071.901,23.283,496.64,95.76,235.207,0.0,True
AA6063,436.0,396.81,394.32,1.007,134.03,45.0,0.059554,7667518333.004,23.137,457.09,105.35,49.406,0.0,True
AA6061,450.68,397.64,447.96,3.169,149.43,11.54,0.098795,12037456326.149,22.423,456.28,65.05,36.481,0.0,True
AA6061,422.98,383.08,401.36,1.421,105.82,43.31,0.09896,32722512675.505,25.703,448.95,111.9,63.019,0.0,True
AA6061,481.74,456.68,383.06,2.917,93.68,10.45,0.143305,5417788190.401,19.966,488.97,56.1,31.296,0.29,True
AA6061,432.19,438.82,422.37,7.884,118.7,11.0,0.303508,51256393505.353,27.238,455.67,76.64,86.535,0.0,True
AA7075,458.99,411.9,427.19,1.317,132.65,13.17,0.048666,8352898912.485,19.459,460.86,60.64,17.264,26.98,True
AA6063,441.94,439.32,381.61,2.999,114.9,11.8,0.122389,10511497357.92,24.162,458.63,70.15,35.209,0.02,True
AA6063,454.1,396.78,397.12,1.07,101.07,39.96,0.072519,5506630624.117,22.087,470.47,95.88,41.58,0.02,True
AA6063,471.56,429.53,399.59,7.343,140.4,30.36,0.338134,12534602617.933,24.744,493.09,97.19,221.117,0.0,True
AA6061,447.64,440.59,389.04,3.429,138.61,12.67,0.121014,12887107205.63,22.64,465.73,69.23,43.826,0.0,True
AA6061,449.47,401.46,399.52,7.661,124.48,16.24,0.326797,42416336274.946,26.586,461.11,86.58,124.077,0.0,True
AA6063,475.36,420.19,380.72,7.436,139.63,30.97,0.350924,12840350291.723,24.824,493.6,99.66,231.448,0.0,True
AA7075,468.06,413.08,442.93,1.328,108.12,41.96,0.083764,11983430614.84,20.605,479.03,89.91,53.25,0.01,True
AA7075,484.04,402.58,423.79,5.946,89.41,42.56,0.477623,42152637654.145,24.859,494.04,108.93,253.72,0.0,True
AA6063,436.57,397.28,432.33,6.897,113.05,39.08,0.428637,57793800328.228,30.053,465.84,128.56,270.5,0.0,True
AA6063,449.87,386.26,410.55,5.254,115.96,37.78,0.31114,28638988253.298,27.56,469.37,117.47,196.518,0.0,True
AA6063,459.54,392.02,455.63,6.578,126.76,31.53,0.343292,23248986509.434,26.837,478.5,108.58,208.163,0.0,True
AA6063,440.86,380.35,433.06,2.368,142.31,44.36,0.123028,16648294121.872,25.696,456.66,115.18,107.233,0.0,True
AA6063,451.5,390.3,454.92,6.649,96.11,20.24,0.39657,32812324208.717,28.036,468.34,98.76,134.289,0.0,True
AA6063,472.21,405.59,405.32,3.429,127.61,12.33,0.126921,5438176676.914,22.048,477.79,67.73,41.616,0.03,True
AA6061,445.45,420.77,417.74,3.505,142.4,16.64,0.131121,16776809850.344,23.488,461.5,77.22,57.846,0.0,True
AA7075,431.67,454.66,380.58,7.334,141.87,22.68,0.304934,94935327329.458,27.786,457.55,99.13,164.57,0.0,True
AA7075,438.16,383.37,384.53,7.087,127.49,36.42,0.381875,154045898842.287,29.586,459.98,123.99,258.241,0.0,True
AA7075,461.67,449.76,426.85,7.407,118.26,30.24,0.408673,53427879669.402,25.7,482.38,103.89,224.45,0.0,True
AA7075,489.96,454.83,435.98,7.449,107.85,48.12,0.515768,29289106153.146,23.589,508.07,104.92,361.813,0.0,True
AA6061,476.29,418.7,395.79,1.222,109.26,13.43,0.050378,2607328359.511,17.858,478.02,55.22,14.898,2.96,True
AA6063,477.36,408.59,438.13,1.198,107.05,26.25,0.074738,2792698781.271,20.019,486.48,77.77,33.655,0.31,True
AA6063,440.75,436.93,381.83,5.596,95.5,13.27,0.287443,25807730594.765,27.198,464.16,82.17,73.784,0.0,True
AA6061,454.14,400.43,389.75,6.81,149.73,23.18,0.270004,30675591170.588,25.485,469.06,95.1,156.109,0.0,True
AA7075,472.88,455.17,444.11,1.319,103.26,28.82,0.079577,7497000359.778,19.123,485.08,75.88,36.895,0.12,True
AA6063,494.78,407.11,411.56,5.424,81.69,45.91,0.486575,10566367567.479,24.179,510.3,109.9,249.686,0.0,True
AA6063,455.92,440.2,395.27,3.489,124.4,10.73,0.131049,7840593733.837,23.209,467.95,65.54,38.587,0.02,True
AA7075,446.6,433.6,422.94,2.114,101.7,46.0,0.153556,35184836187.571,24.225,469.33,107.89,98.236,0.0,True
AA7075,452.09,447.37,405.72,7.577,92.57,36.51,0.564168,96622614469.149,27.851,478.11,118.81,277.517,0.0,True
AA6061,465.8,396.92,387.23,5.449,109.18,34.9,0.334424,25769930543.885,24.901,479.9,102.15,187.812,0.0,True
AA6063,432.84,405.28,396.79,5.44,119.83,25.3,0.279953,37779148753.462,28.534,460.47,109.15,137.568,0.0,True
AA6061,432.13,394.49,431.24,1.819,98.56,43.41,0.138649,30453347605.436,25.46,457.74,112.48,82.375,0.0,True
AA7075,454.49,401.32,390.31,7.375,149.86,17.22,0.267729,55725309559.5,25.851,464.12,83.73,127.122,0.0,True
AA6061,480.76,451.56,413.55,4.029,129.18,47.71,0.226576,8705957625.475,21.407,501.71,95.34,189.178,0.0,True
AA7075,425.12,416.97,418.31,4.747,126.97,10.77,0.171862,91953232255.672,27.669,436.69,75.71,51.78,0.06,True
AA6063,447.8,409.56,449.0,4.864,130.25,45.88,0.273574,23653726154.676,26.896,472.47,118.76,223.738,0.0,True
AA6063,464.53,407.36,401.67,5.167,94.56,22.95,0.326339,18022035229.212,25.964,480.5,97.0,118.364,0.0,True
AA7075,430.22,403.18,402.31,5.244,137.17,40.45,0.269421,117112494161.419,28.562,456.37,124.11,211.561,0.0,True
AA7075,468.17,396.97,451.87,4.37,95.68,44.13,0.327003,45102368113.791,25.098,480.19,109.45,190.873,0.0,True
AA6061,436.25,423.13,386.14,1.201,83.58,48.17,0.102863,17377511986.493,23.603,463.32,108.81,55.962,0.0,True
AA7075,429.46,431.58,441.23,7.062,80.93,37.38,0.600277,228142897845.502,31.072,463.49,131.81,262.558,0.0,True
AA6063,432.01,424.91,405.97,2.233,140.14,26.14,0.099963,12451877176.977,24.722,457.13,94.19,58.755,0.0,True
AA7075,456.74,446.33,427.58,6.068,92.97,48.57,0.484301,78244214042.826,27.078,484.08,121.66,294.9,0.0,True
AA7075,479.06,412.94,459.32,3.44,144.52,47.32,0.175661,17005343772.967,21.75,493.3,97.45,163.078,0.0,True
AA6063,475.77,450.78,411.54,3.112,106.64,10.74,0.135802,4212441288.853,21.257,485.42,59.27,34.309,0.28,True
AA6061,421.64,394.66,432.7,5.187,135.15,20.16,0.224293,72295135179.652,28.437,442.83,98.31,106.512,0.0,True
AA6061,486.31,385.08,447.65,5.412,114.21,45.6,0.345359,15931947137.935,23.321,498.87,105.49,246.532,0.0,True
AA6063,445.7,454.16,409.28,6.292,117.12,38.16,0.374448,28478855906.963,27.541,474.36,117.03,240.621,0.0,True
AA6063,498.57,417.45,445.8,4.463,114.71,47.22,0.292308,5881101879.338,22.294,510.43,98.12,215.049,0.0,True
AA6061,463.42,435.47,410.76,6.349,107.53,43.05,0.421453,28343735281.608,25.219,486.58,112.94,271.524,0.0,True
AA6061,457.9,424.72,390.28,4.941,102.35,25.7,0.29666,25787954555.193,24.903,478.56,95.21,125.844,0.0,True
AA7075,426.18,397.96,460.81,4.006,129.21,17.31,0.1699,94811605896.687,27.781,438.31,95.08,69.772,0.0,True
AA6061,425.76,423.53,450.75,5.745,97.48,32.94,0.392294,91413451083.728,29.267,458.43,119.43,188.739,0.0,True
AA7075,452.44,399.63,459.49,3.11,141.91,37.05,0.153543,34956120992.82,24.202,466.87,101.99,117.02,0.0,True
AA6061,496.09,408.17,413.16,2.22,106.47,42.16,0.148908,4921960129.644,19.681,500.4,88.13,93.538,0.0,True
AA6061,429.91,446.74,424.46,5.875,148.0,13.35,0.194947,36023344579.091,26.028,454.32,80.28,77.812,0.0,True
AA6061,456.36,389.23,386.64,4.26,101.11,34.51,0.283333,31162547703.37,25.538,476.65,105.38,146.186,0.0,True
AA6063,465.76,448.49,447.06,1.841,139.4,26.56,0.083392,3571672462.839,20.755,479.75,79.62,49.301,0.01,True
AA6063,482.91,422.29,439.41,3.362,82.57,46.17,0.315937,8996574815.408,23.654,502.03,105.68,164.576,0.0,True
AA6063,472.1,433.04,411.88,1.262,134.91,37.15,0.067136,2627825877.723,19.84,486.14,84.32,48.735,0.02,True
AA6061,432.21,435.79,400.9,7.5,89.05,22.73,0.499722,88671930213.273,29.159,461.39,107.01,169.556,0.0,True
AA6061,497.75,380.89,442.61,3.243,82.62,46.71,0.28874,9985348181.845,21.834,500.24,97.71,151.795,0.0,True
AA6061,443.57,386.96,391.63,5.96,81.57,44.26,0.523019,88181573521.898,29.139,469.18,128.57,260.866,0.0,True
AA6061,452.78,381.45,445.96,3.493,120.63,12.96,0.142538,18307730846.222,23.773,459.46,72.49,45.541,0.0,True
AA6061,442.98,433.88,454.23,1.593,81.99,45.37,0.136769,16640465116.597,23.462,471.79,103.37,69.828,0.0,True
AA6063,496.34,415.44,383.87,6.044,103.02,36.14,0.406011,8743517874.399,23.561,509.96,98.68,220.627,0.0,True
AA7075,496.53,422.59,416.75,7.899,118.99,36.44,0.455454,24227628438.587,22.939,505.6,95.45,287.595,0.0,True
AA7075,428.33,436.01,411.98,2.425,108.19,13.04,0.110741,42571702125.094,24.894,445.96,76.74,31.853,2.8,True
AA6061,421.49,456.82,397.12,6.717,119.33,20.58,0.326962,71685224702.963,28.408,454.71,100.08,139.01,0.0,True
AA6063,476.7,403.81,405.32,4.051,101.52,49.4,0.298304,11442740875.095,24.442,497.12,111.45,200.85,0.0,True
AA6063,439.19,412.04,420.79,6.623,138.74,46.39,0.352389,41629731193.924,28.878,467.9,127.05,309.48,0.0,True
AA7075,439.8,383.46,380.95,1.102,80.58,14.41,0.073046,26193840035.774,23.206,447.79,73.93,16.65,57.13,True
AA6061,445.25,459.26,435.94,5.913,86.63,39.28,0.48439,52344447278.604,27.311,478.77,118.5,235.128,0.0,True
AA7075,433.45,417.24,448.41,2.502,113.38,15.3,0.118348,42473350743.875,24.886,449.72,78.77,39.41,0.57,True
AA6063,478.54,436.43,456.7,3.043,132.95,27.36,0.147428,4799313574.649,21.659,491.83,86.04,84.861,0.0,True
AA6063,494.28,432.35,416.3,6.519,137.25,21.62,0.27925,5904757866.043,22.306,503.17,80.31,141.16,0.0,True
AA7075,478.05,451.66,431.65,6.778,98.28,13.91,0.353268,27786342466.799,23.408,491.39,70.13,96.043,0.0,True
AA7075,485.51,406.68,457.97,2.964,142.25,45.23,0.154326,12818364107.784,20.823,495.26,91.83,136.394,0.0,True
AA6063,494.27,382.6,444.7,7.576,135.25,15.21,0.290918,8052331187.554,23.295,494.95,72.13,115.111,0.0,True
AA6063,438.25,392.29,450.85,2.953,89.69,14.79,0.167781,20703898606.928,26.438,455.16,86.09,43.26,0.0,True
AA7075,456.82,385.39,444.73,2.749,112.24,29.22,0.154236,34336677969.069,24.14,464.21,95.38,78.487,0.0,True
AA6061,476.31,441.21,443.03,4.321,110.09,10.44,0.17682,8323744457.305,21.268,481.77,59.63,45.368,0.01,True
AA6063,434.63,390.72,439.74,4.182,102.65,44.27,0.29288,43362240703.604,29.023,461.12,131.24,183.841,0.0,True
AA7075,434.49,442.87,412.78,1.704,113.9,13.63,0.072455,22339539918.111,22.664,450.92,66.94,22.55,15.95,True
AA6063,431.89,434.45,380.63,1.892,139.11,43.8,0.094592,11424815262.456,24.437,461.91,106.3,79.836,0.0,True
AA7075,463.57,415.6,451.76,1.629,98.04,40.07,0.122237,17874850926.878,21.916,477.65,94.33,68.131,0.0,True
AA6061,420.36,437.03,445.06,5.641,90.6,14.13,0.315166,76436131172.171,28.634,445.78,91.38,79.772,0.0,True
AA7075,427.65,393.19,456.63,1.285,148.43,10.19,0.037762,19400682333.627,22.189,433.07,60.92,12.88,98.52,True
AA6063,477.3,387.02,388.96,1.875,143.31,31.03,0.08659,3558927906.98,20.744,482.17,82.32,58.699,0.0,True
AA7075,486.88,394.38,383.99,3.906,120.38,44.2,0.228494,19066342962.087,22.131,494.28,94.98,168.015,0.0,True
AA6061,421.64,457.32,397.88,1.284,100.47,41.45,0.094994,20379034823.043,24.124,458.4,104.65,55.617,0.0,True
AA6061,477.19,386.43,412.92,7.919,136.59,16.4,0.308293,17871560072.454,23.694,482.77,80.21,129.257,0.0,True
AA7075,452.14,397.85,381.41,5.022,94.87,18.33,0.294211,67324803419.728,26.532,466.47,87.36,92.112,0.0,True
AA7075,445.64,417.35,412.79,2.046,147.05,26.17,0.086656,21873868636.191,22.593,461.13,88.51,53.488,0.02,True
AA7075,462.7,407.35,396.85,6.72,83.77,12.79,0.386538,58330180079.17,26.015,470.22,79.52,85.07,0.0,True
AA7075,467.79,394.32,395.0,7.088,131.99,36.38,0.369802,51388605188.899,25.561,480.83,108.88,258.679,0.0,True
AA6063,496.75,455.12,441.41,7.603,129.5,45.82,0.424584,7288268114.285,22.975,518.66,101.79,344.905,0.0,True
AA6063,500.2,405.47,452.91,2.838,149.24,36.81,0.133153,2853526088.969,20.083,506.46,83.56,106.217,0.0,True
AA6061,484.13,427.8,388.79,5.154,111.65,40.98,0.324654,12844038736.838,22.629,499.25,100.78,209.48,0.0,True
AA7075,429.96,433.53,429.16,2.991,80.96,13.11,0.185823,68251315813.247,26.581,445.6,80.71,40.12,0.5,True
AA6063,468.75,409.55,381.21,4.145,99.37,14.17,0.210266,9821033605.253,23.94,476.66,72.58,58.484,0.0,True
AA6061,467.72,418.64,389.46,2.998,142.32,32.0,0.136986,8952342199.991,21.494,482.77,90.72,94.253,0.0,True
AA7075,493.3,395.08,400.52,1.398,147.58,44.08,0.067287,4766376664.381,17.752,494.46,76.96,60.536,0.0,True
AA6063,425.65,383.41,450.99,5.171,104.63,19.3,0.273933,55528335037.108,29.909,450.09,103.59,97.858,0.0,True
AA6063,463.35,404.22,391.85,4.256,87.02,23.44,0.295429,16210616295.486,25.606,478.2,96.01,100.037,0.0,True
AA6063,497.88,389.61,396.81,4.301,147.8,40.87,0.206724,4774286656.142,21.643,504.62,93.93,176.228,0.0,True
AA6063,436.97,410.07,380.25,5.779,102.59,32.86,0.380728,45792852273.29,29.217,464.28,121.75,192.442,0.0,True
AA6063,423.34,409.45,427.82,1.755,144.68,13.11,0.06232,11615464759.063,24.491,440.17,76.22,24.048,0.01,True
AA7075,496.06,430.37,396.62,6.158,125.2,49.43,0.362986,19675233770.5,22.236,509.78,100.86,301.546,0.0,True
AA6061,452.0,459.28,418.15,2.788,142.39,29.64,0.127059,10637293683.875,22.032,471.98,88.84,82.849,0.0,True
AA7075,456.81,456.92,451.08,3.289,109.6,36.78,0.207026,29204356617.486,23.579,481.73,99.2,121.211,0.0,True
AA6061,454.21,457.79,391.33,5.113,94.07,41.6,0.386909,31050535874.722,25.526,482.8,110.71,212.656,0.0,True
AA7075,452.9,434.86,395.86,7.824,104.5,43.83,0.539811,99792930260.152,27.97,480.52,123.59,342.479,0.0,True
AA7075,438.1,443.45,442.02,1.99,112.47,40.99,0.127192,36414475567.468,24.345,463.11,105.16,82.685,0.0,True
AA6063,454.6,442.68,456.12,6.926,146.6,32.72,0.315632,19572163509.199,26.246,475.78,110.08,227.267,0.0,True
AA6063,485.32,450.69,435.85,4.698,147.25,14.8,0.167312,4014714175.917,21.11,495.46,64.22,70.846,0.0,True
AA6063,461.98,413.25,402.93,8.009,85.02,11.74,0.442158,24696390343.617,27.045,473.61,78.21,93.832,0.0,True
AA6063,496.0,433.31,400.12,5.02,110.96,32.26,0.298581,6113129582.842,22.416,507.32,90.01,161.088,0.0,True
AA6063,440.55,457.51,418.54,3.332,92.7,19.78,0.204249,17418823657.326,25.849,465.6,90.38,65.699,0.0,True
AA7075,451.58,417.73,443.51,4.255,119.73,41.65,0.254336,50593201258.154,25.506,476.15,112.03,178.063,0.0,True
AA7075,438.42,398.43,392.16,4.802,122.38,38.22,0.276296,94850796204.335,27.783,458.91,117.36,185.723,0.0,True
AA7075,424.16,416.35,443.9,3.855,106.85,10.63,0.156984,78594556553.597,27.094,439.8,77.04,39.495,0.7,True
AA6061,484.91,398.62,407.48,1.963,85.19,49.69,0.169837,7892657762.742,21.105,496.22,94.63,96.376,0.0,True
AA6061,493.55,397.21,416.5,2.684,85.61,26.13,0.200456,6895125061.33,20.692,500.29,79.42,71.949,0.0,True
AA6063,486.86,431.34,411.87,1.121,121.42,10.51,0.041184,1037387078.083,17.225,485.61,46.96,11.695,16.21,True
AA6063,436.99,424.37,447.26,1.263,142.25,36.62,0.065089,7650088608.851,23.13,457.47,98.79,49.304,0.0,True
AA6063,472.07,451.21,419.98,2.012,100.26,36.5,0.133021,4780073274.581,21.647,490.9,92.45,70.848,0.0,True
AA6061,451.14,412.6,434.19,6.447,126.68,46.0,0.374601,42711937048.521,26.61,476.15,123.53,298.509,0.0,True
AA7075,461.37,392.57,410.98,1.743,120.03,13.83,0.070671,13026102436.637,20.875,466.35,64.98,23.385,8.12,True
AA6063,489.95,432.9,413.03,4.072,85.27,11.26,0.215837,5013266315.39,21.794,493.95,59.35,44.812,0.07,True
AA6061,450.27,390.55,411.74,4.764,121.92,47.43,0.284889,36461846339.959,26.069,473.14,117.97,223.515,0.0,True
AA6063,430.2,391.46,429.74,6.084,140.18,47.63,0.323611,51913535509.805,29.667,462.2,135.05,292.796,0.0,True
AA6061,443.29,405.44,426.02,2.899,86.7,16.59,0.182514,27294974496.862,25.093,458.5,82.73,48.943,0.0,True
AA6063,423.45,399.41,433.07,1.599,97.13,44.21,0.118968,22683500901.58,26.752,455.61,117.33,70.599,0.0,True
AA7075,472.83,432.1,415.07,3.432,138.51,40.34,0.174655,17653794084.759,21.874,490.25,93.32,138.199,0.0,True
AA6061,431.74,451.14,394.4,2.541,88.96,27.61,0.182332,29894904272.931,25.398,463.33,99.56,70.679,0.0,True
AA7075,453.12,427.67,438.69,4.548,136.98,38.89,0.235017,43391579014.362,24.961,476.28,105.53,179.057,0.0,True
AA6061,434.48,442.5,438.53,4.433,83.5,34.4,0.350742,52706865657.198,27.334,465.8,113.11,149.081,0.0,True
AA6063,468.75,393.4,380.56,1.187,115.52,39.37,0.074154,3753012858.536,20.905,482.08,86.6,48.079,0.01,True
AA7075,434.61,401.88,417.06,2.764,121.21,46.93,0.159574,64739940596.36,26.39,456.36,118.28,123.482,0.0,True
AA6061,446.59,382.22,390.06,6.744,138.06,42.08,0.34572,54145465988.433,27.428,468.69,122.93,281.207,0.0,True
AA6063,432.66,429.82,412.62,5.224,133.32,31.83,0.262383,33029710137.243,28.06,463.56,115.78,168.466,0.0,True
AA6063,485.2,407.07,395.79,2.344,131.28,34.56,0.12312,3656290944.068,20.826,497.66,84.88,82.569,0.0,True
AA7075,498.62,416.93,410.78,3.038,92.2,41.66,0.235547,12619991409.155,20.772,508.78,87.56,127.033,0.0,True
AA6063,478.2,383.74,446.07,6.694,96.6,22.95,0.419676,18434443179.878,26.041,485.13,95.33,155.454,0.0,True
AA6063,498.38,394.8,459.36,3.611,94.02,26.56,0.242024,5235430776.911,21.929,504.27,83.45,96.51,0.0,True
AA7075,428.71,454.71,386.19,5.406,109.68,32.26,0.325311,116271127528.446,28.535,456.49,116.11,173.505,0.0,True
AA7075,456.44,391.12,415.52,2.879,146.02,45.36,0.147158,30724493783.724,23.754,470.99,107.41,133.795,0.0,True
AA7075,446.65,425.62,403.01,1.874,125.76,44.04,0.104673,24276483971.049,22.946,467.35,104.04,80.195,0.0,True
AA7075,475.22,435.96,451.11,3.698,85.27,48.33,0.312529,31116940398.836,23.798,493.42,106.63,173.916,0.0,True
AA6061,488.73,443.99,457.16,1.458,98.78,13.21,0.075007,2415558133.359,17.646,495.86,52.47,19.855,4.22,True
AA7075,430.01,421.38,450.47,7.241,80.77,45.45,0.650795,281169076091.577,31.871,462.47,143.5,327.755,0.0,True
AA6063,499.7,388.63,447.65,4.519,107.13,34.52,0.284045,6286058700.023,22.504,507.0,92.99,155.31,0.0,True
AA7075,469.31,412.35,380.17,1.882,102.75,32.6,0.12157,15562799351.283,21.457,477.32,85.29,61.194,0.0,True
AA6063,423.71,394.48,403.11,2.882,127.14,10.73,0.106188,20661946262.641,26.431,438.31,73.38,31.97,0.0,True
AA7075,468.63,381.9,390.7,3.306,111.06,14.82,0.147588,22599030179.971,22.703,470.29,71.75,47.184,0.05,True
AA6063,435.98,383.26,398.65,3.99,131.14,34.97,0.206174,29381379211.916,27.649,457.36,115.74,139.289,0.0,True
AA7075,427.03,453.64,407.56,7.402,146.14,10.25,0.22371,82397486139.082,27.267,448.19,74.39,75.373,0.0,True
AA6061,489.67,408.03,384.79,7.859,81.2,47.91,0.711671,26988986811.827,25.055,508.68,113.79,374.636,0.0,True
AA6061,453.05,458.18,425.98,7.031,146.73,37.01,0.332237,27686732055.717,25.14,479.61,104.0,261.621,0.0,True
AA6061,446.05,403.91,401.26,6.271,105.6,39.05,0.415568,60233420195.351,27.798,467.84,118.2,244.853,0.0,True
AA7075,432.11,447.47,391.67,5.562,90.54,46.92,0.455523,141636248583.37,29.271,466.11,133.81,263.291,0.0,True
AA7075,486.89,400.39,444.86,3.121,93.6,48.96,0.239562,19898637532.29,22.274,495.83,102.09,147.73,0.0,True
AA6063,463.29,449.51,454.8,1.639,99.03,49.17,0.128,5887092651.685,22.297,487.26,100.93,83.773,0.0,True
AA6061,474.89,397.77,379.28,3.378,147.82,37.8,0.159586,9279598634.212,21.605,486.81,91.09,128.536,0.0,True
AA7075,447.51,414.04,447.69,6.356,106.25,32.62,0.398637,95042842546.408,27.79,466.74,113.67,207.595,0.0,True
AA6061,496.95,395.24,431.44,1.336,84.65,32.07,0.102015,3370192337.126,18.581,496.68,76.15,41.816,0.08,True
AA6061,421.94,399.49,434.73,5.727,104.74,42.34,0.39244,116171072403.517,30.122,455.69,132.06,243.284,0.0,True
AA6061,460.26,390.98,412.01,5.599,144.72,42.66,0.282794,26402155908.313,24.982,480.89,107.54,243.555,0.0,True
AA6063,461.78,427.04,425.29,1.722,102.32,12.05,0.07868,3992412584.442,21.093,465.88,63.51,20.407,1.26,True
AA7075,478.99,441.33,402.59,3.703,123.87,32.14,0.198619,16657206880.678,21.681,487.67,85.89,119.313,0.0,True
AA6061,494.55,447.12,412.02,1.533,119.82,32.35,0.08361,2170640113.902,17.352,504.8,72.49,48.805,0.03,True
AA7075,463.74,398.61,431.98,7.289,85.98,18.66,0.476522,78102172121.121,27.071,472.43,91.96,136.821,0.0,True
AA6061,485.65,408.48,415.77,7.84,134.87,45.89,0.426584,17252045983.816,23.579,501.6,104.54,361.297,0.0,True
AA6061,467.51,390.2,438.26,2.456,110.31,35.86,0.151983,11473821628.536,22.271,479.52,93.2,87.947,0.0,True
AA6061,477.92,437.94,432.0,3.317,91.88,33.23,0.244137,11624851530.608,22.312,491.1,90.36,111.407,0.0,True
AA7075,428.81,408.7,383.45,2.31,132.27,23.02,0.104375,49801185609.841,25.45,444.69,92.01,53.056,0.04,True
AA6063,429.75,412.0,449.45,7.513,122.09,15.74,0.324478,46088422323.986,29.24,453.88,95.83,118.438,0.0,True
AA6063,451.5,404.62,398.79,4.682,88.0,31.97,0.355512,27869242148.49,27.465,474.58,109.05,151.146,0.0,True
AA6063,439.19,400.15,435.82,2.257,112.5,10.8,0.090508,10828297142.582,24.26,448.13,67.58,24.199,0.04,True
AA7075,434.25,420.49,450.6,4.972,127.71,23.56,0.234592,80726077795.826,27.192,452.36,100.47,116.975,0.0,True
AA6061,485.51,415.93,433.8,5.556,82.71,17.34,0.366489,14493757237.248,23.016,494.23,78.88,96.447,0.0,True
AA6061,434.77,413.59,418.6,7.245,98.26,44.71,0.539838,96065805915.307,29.443,465.57,129.12,326.778,0.0,True
AA6063,472.45,440.45,379.8,5.425,121.19,31.49,0.293425,10846389675.94,24.265,490.75,98.59,169.963,0.0,True
AA6061,468.91,440.6,385.5,2.146,131.32,27.25,0.102145,5580801958.364,20.054,482.33,78.19,57.916,0.0,True
AA6061,448.66,413.65,423.69,7.644,130.68,32.04,0.383372,45619540192.159,26.836,473.87,106.51,242.418,0.0,True
AA7075,456.88,425.7,436.21,6.423,142.69,24.18,0.271775,46931559778.888,25.239,472.88,96.77,154.134,0.0,True
AA6063,490.61,440.73,455.87,2.508,138.55,37.6,0.127041,2838976451.964,20.068,501.27,83.27,95.537,0.0,True
AA6061,434.42,452.15,401.53,4.016,94.16,25.52,0.259379,36977688776.918,26.117,462.74,100.01,100.745,0.0,True
AA6063,480.95,397.56,451.96,3.724,120.34,43.26,0.222001,7975446716.766,23.264,493.32,100.53,160.618,0.0,True
AA7075,476.51,423.29,420.93,2.978,121.64,11.1,0.11505,11191454710.31,20.385,477.78,55.54,33.791,0.36,True
AA6063,442.65,422.19,417.45,8.048,107.21,25.48,0.461295,41993585223.775,28.909,470.65,108.66,203.781,0.0,True
AA7075,419.55,430.1,388.62,6.457,149.41,31.25,0.284519,150464430487.49,29.498,449.37,117.6,202.066,0.0,True
AA6063,488.7,383.52,411.83,6.493,137.04,47.09,0.348584,10432391300.533,24.137,502.81,111.6,305.784,0.0,True
